Cluster,Number of Polling Units
124,1282
284,156
88,152
226,146
260,145
77,143
193,138
133,130
145,125
276,112
256,110
298,108
117,106
267,100
140,96
161,84
121,77
1,76
50,73
26,67
309,54
141,51
225,30
177,27
224,23
216,23
261,19
221,19
222,19
176,18
144,18
220,18
78,17
219,17
25,16
0,14
307,14
228,13
135,13
118,13
180,13
182,13
194,12
85,11
80,11
278,10
185,10
52,10
268,10
47,10
86,9
93,9
223,9
3,9
187,9
283,8
34,8
215,8
81,8
130,8
29,8
263,8
248,7
15,7
123,7
18,7
314,7
136,6
20,6
32,6
30,6
49,6
28,6
259,6
148,5
186,5
236,5
241,5
308,5
214,5
181,5
149,5
306,5
300,5
297,5
179,5
178,5
294,5
227,5
142,5
167,5
103,5
184,5
84,5
44,5
43,5
39,5
12,5
91,5
21,5
269,4
296,4
285,4
13,4
282,4
14,4
70,4
273,4
158,4
92,4
19,4
122,4
24,4
251,4
31,4
246,4
245,4
59,4
35,4
165,4
274,4
204,4
115,4
364,4
6,4
96,4
156,3
155,3
232,3
337,3
313,3
143,3
150,3
33,3
102,3
147,3
66,3
270,3
110,3
317,3
58,3
151,3
113,3
72,3
162,3
303,3
346,3
89,3
295,3
11,3
128,3
61,3
237,3
354,3
242,3
287,3
169,3
305,3
7,3
280,3
238,2
351,2
36,2
357,2
234,2
231,2
94,2
361,2
42,2
45,2
217,2
46,2
48,2
210,2
207,2
247,2
8,2
249,2
340,2
10,2
293,2
290,2
289,2
288,2
286,2
281,2
277,2
312,2
16,2
275,2
206,2
272,2
271,2
320,2
265,2
301,2
331,2
262,2
22,2
339,2
257,2
255,2
254,2
253,2
264,2
367,2
205,2
67,2
56,2
55,2
188,2
106,2
189,2
146,2
190,2
192,2
73,2
63,2
74,2
160,2
53,2
137,2
153,2
99,2
90,2
127,2
120,2
168,2
119,2
97,2
166,2
200,2
203,2
114,2
163,2
108,1
109,1
322,1
323,1
319,1
318,1
321,1
111,1
316,1
315,1
2,1
325,1
112,1
311,1
310,1
4,1
5,1
116,1
304,1
302,1
87,1
324,1
332,1
326,1
98,1
349,1
350,1
100,1
352,1
353,1
355,1
356,1
358,1
347,1
359,1
360,1
362,1
363,1
95,1
365,1
366,1
348,1
101,1
327,1
335,1
328,1
329,1
330,1
107,1
9,1
333,1
334,1
336,1
345,1
338,1
105,1
104,1
341,1
342,1
343,1
344,1
299,1
79,1
83,1
240,1
54,1
229,1
191,1
233,1
235,1
239,1
57,1
38,1
183,1
243,1
244,1
60,1
62,1
64,1
37,1
40,1
125,1
51,1
208,1
209,1
202,1
211,1
212,1
213,1
201,1
41,1
199,1
218,1
198,1
197,1
196,1
195,1
65,1
250,1
175,1
134,1
71,1
279,1
139,1
138,1
75,1
76,1
132,1
252,1
131,1
82,1
291,1
292,1
129,1
126,1
69,1
68,1
152,1
154,1
157,1
159,1
17,1
266,1
164,1
23,1
170,1
258,1
171,1
27,1
172,1
173,1
174,1
230,1
,4769
