Party,Outlier_Polling_Unit,Outlier_Score,Latitude,Longitude,Closest_Polling_Unit_1,Distance_1,Latitude_1,Longitude_1,Closest_Polling_Unit_2,Distance_2,Latitude_2,Longitude_2,Closest_Polling_Unit_3,Distance_3,Latitude_3,Longitude_3
APC,32-15-09-010,11.70672298,4.828169,6.981608,RIVERS,0.02081560609777588,4.828011,6.98171,RIVERS,0.02081560609777588,4.828011,6.98171,RIVERS,0.029714936021091067,4.827917,6.981515
APC,32-21-10-007,10.82084366,4.886862,7.12517,RIVERS,0.07705856733913374,4.886244,7.125491,RIVERS,0.7966089791101924,4.883556,7.118789,RIVERS,0.9401024955860899,4.881335,7.13161
APC,32-15-14-006,10.03270563,4.903751,6.995358,RIVERS,0.4083782099511387,4.900267,6.996579,RIVERS,0.4083782099511387,4.900267,6.996579,RIVERS,0.4083782099511387,4.900267,6.996579
LP,32-03-02-011,7.401737366,5.068542,6.535645,RIVERS,0.5708725405505947,5.064583,6.538949,RIVERS,0.5708725405505947,5.064583,6.538949,RIVERS,0.5708725405505947,5.064583,6.538949
LP,32-04-09-002,7.11820458,4.61379,6.663812,,,,,,,,,,,,
LP,32-15-02-001,6.146450875,4.852189,7.033989,RIVERS,0.3732298887154066,4.849994,7.036545,RIVERS,0.38080901691854396,4.85291,7.030632,RIVERS,0.5156801840562076,4.848095,7.036215
PDP,32-15-06-025,17.89121585,4.881499,7.007722,RIVERS,0.47980096499211006,4.877232,7.006938,RIVERS,0.7311348235706019,4.875178,7.005789,RIVERS,0.7311348235706019,4.875178,7.005789
PDP,32-15-10-013,14.86950291,4.839553,6.984844,RIVERS,0.5874143779692772,4.834455,6.986332,RIVERS,0.5965913219721971,4.844621,6.986688,RIVERS,0.65554548457343,4.833789,6.983463
PDP,32-15-17-051,14.64287444,4.81333,6.957069,RIVERS,0.18624095715030456,4.813982,6.955521,RIVERS,0.18624095715030456,4.813982,6.955521,RIVERS,0.22451917632409127,4.81536,6.957032
NNPP,32-22-17-008,22.5539547,4.790538,6.987622,RIVERS,0.3121861166248763,4.792133,6.989944,RIVERS,0.3121861166248763,4.792133,6.989944,RIVERS,0.3206068904450747,4.791001,6.990475
NNPP,32-21-10-007,12.24800794,4.886862,7.12517,RIVERS,0.07705856733913374,4.886244,7.125491,RIVERS,0.7966089791101924,4.883556,7.118789,RIVERS,0.9401024955860899,4.881335,7.13161
NNPP,32-22-20-028,11.20655189,4.743216,7.082116,RIVERS,0.4141669010688792,4.740619,7.084806,RIVERS,0.4141669010688792,4.740619,7.084806,RIVERS,0.4141669010688792,4.740619,7.084806
